time,mean_pressure,min_pressure,max_pressure,std_pressure,pressure_range,anomaly
0,54.022241435545574,-1.2939453e-06,99.197334,19.510166819007818,99.1973352939453,0
900,54.06796853120215,-1.2939453e-06,99.2583,19.510989465070647,99.25830129394531,0
1800,54.112559070394106,-1.2939453e-06,99.319115,19.512168578949655,99.3191162939453,0
2700,54.157058805318286,-1.2939453e-06,99.37975,19.513549524413673,99.3797512939453,0
3600,55.016660350015286,-1.2939453e-06,101.48763,19.808535820202056,101.4876312939453,0
4500,55.45313844471229,-1.2939453e-06,101.631516,20.064035221315876,101.63151729394531,0
5400,55.53574472400515,-1.2939453e-06,101.7613,20.07146460326556,101.76130129394531,0
6300,55.61813630531832,-1.2939453e-06,101.890724,20.079239139588196,101.89072529394531,0
7200,55.8724551732476,-1.2939453e-06,102.122635,20.198875005866167,102.1226362939453,0
8100,55.9651018189547,-1.2939453e-06,102.288,20.21042057719693,102.2880012939453,0
9000,56.05082755228796,-1.2939453e-06,102.42038,20.219457869560046,102.4203812939453,0
9900,56.13635074294457,-1.2939453e-06,102.55238,20.228826141718663,102.5523812939453,0
10800,56.0776792972375,-1.2939453e-06,104.30972,19.77634488456315,104.3097212939453,0
11700,56.13556024496483,-1.2939453e-06,104.48927,19.790897400957558,104.48927129394531,0
12600,56.19262961743955,-1.2939453e-06,104.66331,19.805813040019977,104.6633112939453,0
13500,54.67874395304563,-1.2939453e-06,103.383,19.15265993050735,103.3830012939453,0
14400,54.80197390506579,-1.2939453e-06,104.00231,19.236623701530274,104.0023112939453,0
15300,53.668386516429436,-1.2939453e-06,91.86255,17.428986638551503,91.8625512939453,0
16200,53.20945273915663,-1.2939453e-06,91.68365,17.2276916790013,91.6836512939453,0
17100,53.168694457591116,-1.2939453e-06,91.504745,17.23023308663079,91.5047462939453,0
18000,53.05409058360119,-1.2939453e-06,91.35038,17.195190367226946,91.3503812939453,0
18900,53.01234980254055,-1.2939453e-06,91.18034,17.198096114544228,91.1803412939453,0
19800,53.519547682843566,-1.2939453e-06,96.11891,17.78988151533896,96.1189112939453,0
20700,55.19551820784354,-1.2939453e-06,104.62641,18.69391116283727,104.62641129394531,0
21600,54.67856329824762,-1.2939453e-06,103.15948,18.40126005104861,103.1594812939453,0
22500,54.73980970001526,-1.2939453e-06,103.326385,18.416370374887617,103.3263862939453,0
23400,54.80019579976278,-1.2939453e-06,103.48744,18.431621930204233,103.48744129394531,0
24300,54.86047426213657,-1.2939453e-06,103.64818,18.447377512286245,103.6481812939453,0
25200,54.57131497653043,-1.2939453e-06,103.27891,18.37704600291755,103.2789112939453,0
26100,55.075872981075946,-1.2939453e-06,103.42598,18.803878455374004,103.4259812939453,0
27000,55.13577274445968,-1.2939453e-06,103.5712,18.829768366265455,103.57120129394531,0
27900,55.19556366592439,-1.2939453e-06,103.716156,18.856320774118107,103.7161572939453,0
28800,51.88525312905567,-1.2939453e-06,89.35852,16.8239906911815,89.3585212939453,0
29700,51.78205908814665,-1.2939453e-06,89.07373,16.837256307471463,89.0737312939453,0
